participant,task,subtask,trial,choice,reward,condition,trial_within_subtask,function
3,11,0,0,3,3.40352285,noncompositional,0.0,negeven
3,11,0,1,1,7.495039,noncompositional,1.0,negeven
3,11,0,2,1,7.52342997,noncompositional,2.0,negeven
3,11,0,3,1,7.39159039,noncompositional,3.0,negeven
3,11,0,4,1,7.37377444,noncompositional,4.0,negeven
3,12,0,0,1,6.04966045,noncompositional,0.0,negeven
3,12,0,1,3,1.29333979,noncompositional,1.0,negeven
3,12,0,2,1,5.97698815,noncompositional,2.0,negeven
3,12,0,3,1,5.86936463,noncompositional,3.0,negeven
3,12,0,4,1,6.13321738,noncompositional,4.0,negeven
3,13,0,0,1,6.67076523,noncompositional,0.0,negeven
3,13,0,1,1,6.48591551,noncompositional,1.0,negeven
3,13,0,2,1,6.88119515,noncompositional,2.0,negeven
3,13,0,3,1,6.61538766,noncompositional,3.0,negeven
3,13,0,4,1,6.93057611,noncompositional,4.0,negeven
3,14,0,0,1,5.22593617,noncompositional,0.0,negeven
3,14,0,1,2,3.90317853,noncompositional,1.0,negeven
3,14,0,2,1,5.2369317,noncompositional,2.0,negeven
3,14,0,3,0,4.74529732,noncompositional,3.0,negeven
3,14,0,4,1,4.98236407,noncompositional,4.0,negeven
3,15,0,0,1,2.30513751,noncompositional,0.0,posodd
3,15,0,1,4,1.13825001,noncompositional,1.0,posodd
3,15,0,2,3,5.75448533,noncompositional,2.0,posodd
3,15,0,3,3,5.7839595,noncompositional,3.0,posodd
3,15,0,4,5,5.63839179,noncompositional,4.0,posodd
3,16,0,0,0,2.43270689,noncompositional,0.0,poseven
3,16,0,1,1,2.35359384,noncompositional,1.0,poseven
3,16,0,2,1,2.32954919,noncompositional,2.0,poseven
3,16,0,3,2,3.92076122,noncompositional,3.0,poseven
3,16,0,4,5,0.86704691,noncompositional,4.0,poseven
3,17,0,0,2,6.02375536,noncompositional,0.0,negeven
3,17,0,1,2,6.11892333,noncompositional,1.0,negeven
3,17,0,2,0,6.72625309,noncompositional,2.0,negeven
3,17,0,3,0,6.91328788,noncompositional,3.0,negeven
3,17,0,4,2,6.14449876,noncompositional,4.0,negeven
3,18,0,0,4,3.56125086,noncompositional,0.0,negodd
3,18,0,1,3,10.59048211,noncompositional,1.0,negodd
3,18,0,2,3,10.75588689,noncompositional,2.0,negodd
3,18,0,3,5,9.88754029,noncompositional,3.0,negodd
3,18,0,4,3,10.59094038,noncompositional,4.0,negodd
3,19,0,0,4,2.55321877,noncompositional,0.0,posodd
3,19,0,1,3,10.7424746,noncompositional,1.0,posodd
3,19,0,2,3,10.5453613,noncompositional,2.0,posodd
3,19,0,3,5,9.40537991,noncompositional,3.0,posodd
3,19,0,4,3,10.49982506,noncompositional,4.0,posodd
4,0,0,0,0,6.31116885,noncompositional,0.0,evenneg
4,0,0,1,5,4.29565815,noncompositional,1.0,evenneg
4,0,0,2,1,1.89269554,noncompositional,2.0,evenneg
4,0,0,3,2,5.88203225,noncompositional,3.0,evenneg
4,0,0,4,0,6.24503948,noncompositional,4.0,evenneg
4,1,0,0,5,9.7479799,noncompositional,0.0,oddpos
4,1,0,1,5,9.80680771,noncompositional,1.0,oddpos
4,1,0,2,5,10.00845797,noncompositional,2.0,oddpos
4,1,0,3,5,9.78007751,noncompositional,3.0,oddpos
4,1,0,4,5,9.82215094,noncompositional,4.0,oddpos
4,2,0,0,5,7.1959641,noncompositional,0.0,oddpos
4,2,0,1,0,0.71739189,noncompositional,1.0,oddpos
4,2,0,2,5,7.26285117,noncompositional,2.0,oddpos
4,2,0,3,5,7.14886352,noncompositional,3.0,oddpos
4,2,0,4,5,7.40484889,noncompositional,4.0,oddpos
4,3,0,0,5,8.76842135,noncompositional,0.0,evenpos
4,3,0,1,0,5.17937241,noncompositional,1.0,evenpos
4,3,0,2,1,2.0669455,noncompositional,2.0,evenpos
4,3,0,3,5,8.62148197,noncompositional,3.0,evenpos
4,3,0,4,5,8.7889376,noncompositional,4.0,evenpos
4,4,0,0,5,4.98565734,noncompositional,0.0,oddneg
4,4,0,1,0,4.12455023,noncompositional,1.0,oddneg
4,4,0,2,2,3.60428847,noncompositional,2.0,oddneg
4,4,0,3,1,9.9303881,noncompositional,3.0,oddneg
4,4,0,4,1,9.86738701,noncompositional,4.0,oddneg
4,5,0,0,3,5.23378467,noncompositional,0.0,oddneg
4,5,0,1,4,4.35671495,noncompositional,1.0,oddneg
4,5,0,2,5,3.91223301,noncompositional,2.0,oddneg
4,5,0,3,2,0.91386385,noncompositional,3.0,oddneg
4,5,0,4,0,1.41850411,noncompositional,4.0,oddneg
4,6,0,0,0,0.18510309,noncompositional,0.0,oddneg
4,6,0,1,5,2.91747198,noncompositional,1.0,oddneg
4,6,0,2,2,0.71584114,noncompositional,2.0,oddneg
4,6,0,3,1,4.04838642,noncompositional,3.0,oddneg
4,6,0,4,4,4.16544501,noncompositional,4.0,oddneg
4,7,0,0,2,9.50094775,noncompositional,0.0,evenpos
4,7,0,1,2,9.48864302,noncompositional,1.0,evenpos
4,7,0,2,2,9.64182198,noncompositional,2.0,evenpos
4,7,0,3,2,9.6226121,noncompositional,3.0,evenpos
4,7,0,4,2,9.67082349,noncompositional,4.0,evenpos
4,8,0,0,5,4.97885464,noncompositional,0.0,evenpos
4,8,0,1,2,3.75045164,noncompositional,1.0,evenpos
4,8,0,2,4,3.85209077,noncompositional,2.0,evenpos
4,8,0,3,3,4.42312729,noncompositional,3.0,evenpos
4,8,0,4,1,0.51292785,noncompositional,4.0,evenpos
4,9,0,0,2,1.31915229,noncompositional,0.0,oddneg
4,9,0,1,0,1.38307132,noncompositional,1.0,oddneg
4,9,0,2,4,5.25694991,noncompositional,2.0,oddneg
4,9,0,3,5,4.49229052,noncompositional,3.0,oddneg
4,9,0,4,3,5.94052622,noncompositional,4.0,oddneg
4,10,0,0,1,1.05043949,noncompositional,0.0,evenpos
4,10,0,1,2,7.97486626,noncompositional,1.0,evenpos
4,10,0,2,0,8.88198865,noncompositional,2.0,evenpos
4,10,0,3,0,8.82149355,noncompositional,3.0,evenpos
4,10,0,4,0,8.86037757,noncompositional,4.0,evenpos
